verified_reviews,paraphrased_reviews
Love my Echo!,"

I'm so fond of my Echo!"
Loved it!,"

I adored it!"
"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.","

Sometimes when playing a game, I can answer a question correctly, but Alexa will incorrectly tell me that my answer is wrong and give the same response as me. I really enjoy the convenience of being able to control the lights in my house when I'm not there."
"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.","

I've had a blast with this device. My four year old has been learning a lot about dinosaurs, I can control the lighting and play games such as Categories, and it has great sound quality when playing music."
Music," is the food of the soul

Music nourishes the spirit."
"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.","

I was gifted an Echo and I wanted something with Bluetooth capabilities to make playing music easier. I am excited to explore the capabilities of this smart speaker."
"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.","

Without having a cellphone, I cannot take advantage of many of its functions. Although I have an iPad, I don't find it very useful. However, the phone's alarm is incredibly loud, so even if you are nearly deaf, you can easily hear it from the living room. Additionally, it's enjoyable to ask random questions and hear the phone's response. It may not be particularly knowledgeable about politics, but that's not a major issue."
I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,"

I have already bought five of these, and I am aiming to have one in every room of my house. I really appreciate the features they provide, such as playing music on all Echos and being able to control the lights in my home."
looks great,"

It appears fantastic."
"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!","

I am absolutely loving this! I can listen to songs I haven't heard in years! Plus, I can get the latest news, weather, and other information! It's amazing!"
"I sent it to my 85 year old Dad, and he talks to it constantly.","

I gave the present to my 85 year old father, and he has been conversing with it regularly."
I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,"

I am really enjoying discovering new things with it every day! I'm still getting the hang of how it all works, but it has been straightforward and easy to comprehend so far. She does make me chuckle occasionally."
"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!","

I bought this for my mom who is currently struggling with her knees and can't move around as quickly as she used to. She loves all the things it can do - from playing music to telling the time and location to giving instructions on how to make different dishes."
"Love, Love, Love!!","

Oh, how I adore it!"
Just what I expected....,"

It was precisely what I anticipated."
"I love it, wife hates it.","

I am fond of it, but my spouse detests it."
Really happy with this purchase.  Great speaker and easy to set up.,"

I am ecstatic about this acquisition. The speaker is outstanding and setting it up was a breeze."
We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,"

We've just had Alexa for a few days and are already having a blast with our new gadget. It's almost like having a new family member! We're still discovering all the cool features and advantages that come with it."
We love the size of the 2nd generation echo. Still needs a little improvement on sound,"

We adore the dimensions of the 2nd generation echo. It could still use some refinement in terms of sound."
"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)","

I enjoyed the original Echo, but this new version is shorter and has more fabric/color options. I do miss the volume ring on top, though, as the plus/minus buttons aren't quite the same. It's not a major issue, but the ring was quite comforting. I do appreciate the use of a standard USB charger/port instead of the round pin from before. Other than that, it sounds and functions the same, responding to Alexa/Echo/Computer. All in all, there's not much to dislike about it."
Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,"

I'm a fan of the Echo and how great the music sounds when played through it. Alexa is usually able to comprehend commands, but it can be tricky for her to locate certain playlists or tunes on Spotify. She is proficient with Amazon Music, but is not as adept with other prominent platforms."
"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.","

We adore Alexa! We take advantage of her to play tunes, broadcast radio through iTunes, listen to podcasts with Anypod, and create reminders. We tune in to our personalized flash briefing of news and weather every morning. We depend on our custom lists. We appreciate being able to adjust the volume with our voice. We're certain we'll keep discovering new uses for her. It can be a bit annoying when Alexa doesn't comprehend what we're saying though."
"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.","

I've only had the smart home setup for a few days and I'm still adding more devices. The speaker is great for playing music and I like the size; it fits nicely on the kitchen counter without being too much of an eyesore."
I love it. It plays my sleep sounds immediately when I ask,"

I am thrilled with it; it begins playing my sleep sounds as soon as I request it."
"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.","

I purchased an additional unit for the bedroom, yet I did not notice any significant changes in sound quality. All in all, the second unit did not make a great improvement compared to the first one."
Amazing product,"

Incredible item"
"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.","

I am so fond of my Echo. It is simple to use, a lot of fun, and delivers on all its promises. I mainly use it to listen to my beloved songs and to challenge Alexa's intelligence."
Sounds great!! Love them!,"

That's fantastic! I am really fond of them."
"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.","

An entertaining object to become familiar with. It can have difficulty responding to inquiries at times, but I anticipate improvement."
Just like the other one,"

Similarly to the other one"
Still learning all the capabilities...but so far pretty pretty pretty good,"

I'm still discovering all the features...but so far I'm really enjoying it."
I like it,"

I'm fond of it"
"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great","

She works really well and is great overall, but she could benefit from being able to learn commands like ""Alexa, learn Tasha's birthday"" or ""Alexa, learn my definition of Fine"", etc. for unique owners and users."
